"submittedname","acceptedname","sourceid","score","matchedname","authority","uri"
"Taxus baccata","Taxus baccata","iPlant_TNRS","1","Taxus baccata","L.","http://www.tropicos.org/Name/31200027"
"Tilia parvifolia","Tilia","iPlant_TNRS","0.5","Tilia","L.","http://www.tropicos.org/Name/40014550"
"Tilia platyphyllos","Tilia platyphyllos","iPlant_TNRS","1","Tilia platyphyllos","Scop.","http://www.tropicos.org/Name/32200188"
"Tilia vulgaris","Tilia","iPlant_TNRS","0.5","Tilia","L.","http://www.tropicos.org/Name/40014550"
"Ulmus montana","","iPlant_TNRS","1","Ulmus montana","",""
"Castanea vulgaris","Castanea sativa","iPlant_TNRS","1","Castanea vulgaris","Mill.","http://www.tropicos.org/Name/13100366"
"Berberis vulgaris","Berberis vulgaris","iPlant_TNRS","1","Berberis vulgaris","L.","http://www.tropicos.org/Name/3500015"
"Buxus sempervirens","Buxus sempervirens","iPlant_TNRS","1","Buxus sempervirens","L.","http://www.tropicos.org/Name/4900002"
"Clematis vitalba","Clematis vitalba","iPlant_TNRS","1","Clematis vitalba","L.","http://www.tropicos.org/Name/27100078"
"Cornus sanguinea","Thelycrania sanguinea","iPlant_TNRS","1","Cornus sanguinea","(L.) Fourr.","http://www.tropicos.org/Name/8700197"
"Corylus avellana","","iPlant_TNRS","1","Corylus avellana","",""
"Crataegus monogyna","Crataegus monogyna","iPlant_TNRS","1","Crataegus monogyna","Jacq.","http://www.tropicos.org/Name/27800045"
"Crataegus oxyacanthoides","","iPlant_TNRS","1","Crataegus oxyacanthoides","",""
"Cytisus scoparius","Cytisus scoparius","iPlant_TNRS","1","Cytisus scoparius","(L.) Link","http://www.tropicos.org/Name/13029962"
"Daphne laureola","Daphne laureola","iPlant_TNRS","1","Daphne laureola","L.","http://www.tropicos.org/Name/32000009"
"Daphne mezereum","Daphne mezereum","iPlant_TNRS","1","Daphne mezereum","L.","http://www.tropicos.org/Name/32000011"
"Euonymus europaeus","Euonymus europaeus","iPlant_TNRS","1","Euonymus europaeus","L.","http://www.tropicos.org/Name/6600003"
"Hedera helix","Hedera helix","iPlant_TNRS","1","Hedera helix","L.","http://www.tropicos.org/Name/2200015"
"Hypericum androsaemum","Hypericum androsaemum","iPlant_TNRS","1","Hypericum androsaemum","L.","http://www.tropicos.org/Name/7800024"
"Ligustrum vulgare","Ligustrum vulgare","iPlant_TNRS","1","Ligustrum vulgare","L.","http://www.tropicos.org/Name/23000165"
"Lonicera periclymenum","Lonicera periclymenum","iPlant_TNRS","1","Lonicera periclymenum","L.","http://www.tropicos.org/Name/6000016"
"Prunus cerasus","Cerasus vulgaris","iPlant_TNRS","1","Prunus cerasus","Mill.","http://www.tropicos.org/Name/27804187"
"Prunus spinosa","Prunus spinosa","iPlant_TNRS","1","Prunus spinosa","L.","http://www.tropicos.org/Name/27800136"
"Rhamnus cathartica","Rhamnus cathartica","iPlant_TNRS","1","Rhamnus cathartica","L.","http://www.tropicos.org/Name/27500016"
"Rhamnus frangula","Rhamnus frangula","iPlant_TNRS","1","Rhamnus frangula","L.","http://www.tropicos.org/Name/27500185"
"Ribes grossularia","Ribes reclinatum","iPlant_TNRS","1","Ribes grossularia","L.","http://www.tropicos.org/Name/50077936"
"Ribes nigrum","Ribes nigrum","iPlant_TNRS","1","Ribes nigrum","L.","http://www.tropicos.org/Name/29100051"
"Rosa canina","Rosa canina","iPlant_TNRS","1","Rosa canina","L.","http://www.tropicos.org/Name/27800145"
"Rubus corylifolius","","iPlant_TNRS","1","Rubus corylifolius","",""
