species,photo
Chrysanthemum vulgare,c3
Chrysaspis aurea,c3
Chrysaspis campestris,c3
Chrysaspis dubia,c3
Chrysaspis micrantha,c3
Chrysosplenium alternifolium,c3
Chrysosplenium oppositifolium,c3
Cicendia filiformis,c3
Cicerbita alpina,c3
Cicerbita macrophylla,c3
Cichorium intybus,c3
Cicuta virosa,c3
Circaea alpina,c3
Circaea lutetiana,c3
Circaea x intermedia,c3
Cirsium acaule,c3
Cirsium arvense,c3
Cirsium dissectum,c3
Cirsium eriophorum,c3
Cirsium helenioides,c3
Cirsium heterophyllum,c3
Cirsium palustre,c3
Cirsium tuberosum,c3
Cirsium vulgare,c3
Cladium mariscus,c3
Claytonia perfoliata,c3
Claytonia sibirica,c3
Clematis vitalba,c3
Clinopodium acinos,c3
Clinopodium calamintha,c3
Clinopodium menthifolium,c3
Clinopodium vulgare,c3
Cnicus pratensis,c3
Cochlearia alpina,c3
Cochlearia anglica,c3
Cochlearia atlantica,c3
Cochlearia danica,c3
Cochlearia groenlandica,c3
Cochlearia islandica,c3
Cochlearia micacea,c3
Cochlearia officinalis,c3
Cochlearia officinalis subsp. alpina,c3
Cochlearia officinalis subsp. pyrenaica,c3
Cochlearia pyrenaica,c3
Cochlearia scotica,c3
Coeloglossum viride,c3
Coincya monensis,c3
Coincya wrightii,c3
Colchicum autumnale,c3
Colutea arborescens,c3
Comarum palustre,c3
Conium maculatum,c3
Conopodium denudatum,c3
Conopodium majus,c3
Convallaria majalis,c3
Convolvulus arvensis,c3
Conyza albida,c3
Conyza canadensis,c3
Conyza floribunda,c3
Conyza sumatrensis,c3
Cornus sanguinea,c3
Cornus suecica,c3
Coronilla varia,c3
Coronopus didymus,c3
Coronopus squamatus,c3
Corrigiola litoralis,c3
Corydalis claviculata,c3
Corydalis lutea,c3
Corylus avellana,c3
Corynephorus canescens,c3
Cotoneaster bullatus,c3
Cotoneaster cambricus,c3
Cotoneaster dielsianus,c3
Cotoneaster divaricatus,c3
