species,ab_density,ad_density,sr_propAd,sr_even,lifeform,ellenberg_light
Oxalis_acetosella,56,0,0,0,hc,4
Oxyria_digyna,128,32,0.2,0.25,hc,7
Papaver_rhoeas,108,16,0.12903225806451613,0.14814814814814814,Th,7
Paris_quadrifolia,20,0,0,0,Gn,3
Persicaria_lapathifolia,205,107,0.34294871794871795,0.5219512195121951,Th,7
Persicaria_maculosa,155,48,0.23645320197044334,0.3096774193548387,Th,7
Persicaria_vivipara,172,33,0.16097560975609757,0.19186046511627908,hc,8
Peucedanum_officinale,68,80,0.5405405405405406,0.85,hc,7
Peucedanum_palustre,75,50,0.4,0.6666666666666666,hc,7
Phleum_arenarium,80,235,0.746031746031746,0.3404255319148936,Th,9
Phleum_pratense,103,136,0.5690376569037657,0.7573529411764706,hc,8
Phyteuma_spicatum,176,2,0.011235955056179775,0.011363636363636364,hc,5
Pilosella_officinarum,148,115,0.4372623574144487,0.777027027027027,hc,8
Pinguicula_grandiflora,40,40,0.5,1,hc,7
Plantago_lanceolata,225,267,0.5426829268292683,0.8426966292134831,hc,7
Plantago_major,233,184,0.4412470023980815,0.7896995708154506,hc,7
Plantago_maritima,212,117,0.3556231003039514,0.5518867924528302,hc,8
Plantago_media,254,184,0.4200913242009132,0.7244094488188977,hc,8
Poa_alpina,55,82,0.5985401459854015,0.6707317073170732,hc,7
Poa_annua,135,125,0.4807692307692308,0.9259259259259259,Th,7
Poa_humilis,10.2,28,0.7329842931937173,0.36428571428571427,hc,8
Poa_nemoralis,118,3.8,0.031198686371100164,0.03220338983050847,hc,4
Polemonium_caeruleum,90,0,0,0,hc,5
Polygala_vulgaris,147,110,0.4280155642023346,0.7482993197278912,Ch,8
Polygonatum_multiflorum,73,0,0,0,Gn,4
Polygonatum_odoratum,66,0,0,0,Gn,5
Polygonatum_verticillatum,88,0,0,0,Gn,4
Polygonum_aviculare,144,106,0.424,0.7361111111111112,Th,7
Populus_nigra,115,20,0.14814814814814814,0.17391304347826086,Ph,6
Populus_tremula,330,0,0,0,Ph,6
Potentilla_erecta,400,0,0,0,hc,7
Potentilla_rupestris,192,45,0.189873417721519,0.234375,hc,7
Potentilla_sterilis,171,0,0,0,hc,5
Primula_vulgaris,140,0,0,0,hc,5
Prunella_vulgaris,210,42,0.16666666666666666,0.2,hc,7
Prunus_avium,282,0,0,0,Ph,4
Prunus_padus,279,10,0.03460207612456748,0.035842293906810034,Ph,5
Prunus_spinosa,375,0,0,0,Ph,6
Pulsatilla_vulgaris,46.7,24.7,0.34593837535014,0.5289079229122056,hc,7
Pyrola_minor,183,17,0.085,0.09289617486338798,hc,5
Quercus_robur,450,0,0,0,Ph,7
Ranunculus_auricomus,59,16,0.21333333333333335,0.2711864406779661,hc,6
Ranunculus_bulbosus,151,35,0.1881720430107527,0.23178807947019867,hc,7
Ranunculus_ficaria,75,21,0.21875,0.28,Gn,6
Ranunculus_flammula,98,79,0.4463276836158192,0.8061224489795918,hc,7
Ranunculus_lingua,27,13,0.325,0.48148148148148145,hc,7
Ranunculus_parviflorus,70,16,0.18604651162790697,0.22857142857142856,Th,7
Ranunculus_repens,134,28,0.1728395061728395,0.208955223880597,hc,6
Ranunculus_sceleratus,47,31,0.3974358974358974,0.6595744680851063,Th,8
Raphanus_raphanistrum,189,130,0.40752351097178685,0.6878306878306878,Th,7
Reseda_luteola,180,122,0.40397350993377484,0.6777777777777778,hc,7
Rhamnus_cathartica,167,0,0,0,Ph,7
Rhododendron_ponticum,37.5,0.6,0.015748031496062992,0.016,Ph,5
Ribes_nigrum,144,0,0,0,Ph,5
Rorippa_sylvestris,280,235,0.4563106796116505,0.8392857142857143,hc,8
Rosa_canina,89,0,0,0,Ph,6
Rumex_acetosa,59,14,0.1917808219178082,0.23728813559322035,hc,7
Rumex_acetosella,80,58,0.42028985507246375,0.725,hc,7
Rumex_crispus,70,34,0.3269230769230769,0.4857142857142857,hc,8
Rumex_obtusifolius,388,88,0.18487394957983194,0.2268041237113402,hc,7
Rumex_sanguineus,103,12,0.10434782608695652,0.11650485436893204,hc,5
Salix_caprea,400,0,0,0,Ph,7
Salix_herbacea,84,78,0.48148148148148145,0.9285714285714286,Ch,8
Sanicula_europaea,143,0,0,0,hc,4
Saponaria_officinalis,103,17,0.14166666666666666,0.1650485436893204,hc,8
Saussurea_alpina,62,9,0.1267605633802817,0.14516129032258066,hc,8
Saxifraga_aizoides,79,65,0.4513888888888889,0.8227848101265823,Ch,8
Saxifraga_stellaris,5,16,0.7619047619047619,0.3125,hc,8
Scrophularia_auriculata,95,8,0.07766990291262135,0.08421052631578947,hc,7
Scrophularia_nodosa,181,2,0.01092896174863388,0.011049723756906077,hc,5
Senecio_cambrensis,32,11,0.2558139534883721,0.34375,Th,8
Senecio_jacobaea,125,28,0.1830065359477124,0.224,hc,7
Senecio_vulgaris,123,54,0.3050847457627119,0.43902439024390244,Th,7
Serratula_tinctoria,170,19,0.10052910052910052,0.11176470588235295,hc,7
Sesleria_caerulea,7.5,350,0.9790209790209791,0.02142857142857143,hc,7
Sibbaldia_procumbens,97,167,0.6325757575757576,0.5808383233532934,hc,8
Sibthorpia_europaea,100,0,0,0,Ch,5
Silene_dioica,67,3,0.04285714285714286,0.04477611940298507,hc,5
Silene_latifolia,49,57,0.5377358490566038,0.8596491228070176,hc,7
Silene_uniflora,160,160,0.5,1,hc,8
Silene_vulgaris,32,32,0.5,1,hc,7
Sison_amomum,228,0,0,0,hc,7
Sisymbrium_officinale,363,279,0.43457943925233644,0.768595041322314,Th,7
Smyrnium_olusatrum,67,157,0.7008928571428571,0.4267515923566879,hc,7
Solanum_dulcamara,156,0,0,0,Ph,7
Solanum_nigrum,168.4,78.9,0.31904569348968864,0.4685273159144893,Th,7
Solidago_virgaurea,78,80,0.5063291139240507,0.975,hc,5
Sonchus_arvensis,374,4,0.010582010582010581,0.0106951871657754,hc,8
Sorbus_aria,225,0,0,0,Ph,6
Sorbus_aucuparia,224,0,0,0,Ph,6
Stachys_germanica,430,40,0.0851063829787234,0.09302325581395349,hc,7
Stachys_officinalis,145,32,0.1807909604519774,0.2206896551724138,hc,7
Stachys_sylvatica,136,0,0,0,hc,6
Stellaria_graminea,85,35,0.2916666666666667,0.4117647058823529,hc,7
Stellaria_holostea,118,3,0.024793388429752067,0.025423728813559324,Ch,5
Stellaria_media,46.8,33.1,0.41426783479349183,0.7072649572649573,Th,7
Suaeda_maritima,50,38,0.4318181818181818,0.76,Th,9
Succisa_pratensis,222,79,0.26245847176079734,0.35585585585585583,hc,7
Symphoricarpos_albus,116,0,0,0,Ph,5
Tanacetum_vulgare,160,200,0.5555555555555556,0.8,hc,7
Tephroseris_integrifolia,70,20,0.2222222222222222,0.2857142857142857,hc,7
Teucrium_scorodonia,238,0,0,0,hc,6
Thalictrum_flavum,93,58,0.3841059602649007,0.6236559139784946,hc,7
Thymus_serpyllum,366,88,0.19383259911894274,0.24043715846994534,Ch,8
Tilia_platyphyllos,119,0,0,0,Ph,4
Tragopogon_pratensis,131,80,0.3791469194312796,0.6106870229007634,hc,8
Trientalis_europaea,47,0.5,0.010526315789473684,0.010638297872340425,Gn,5
Trifolium_hybridum,359,463,0.5632603406326034,0.775377969762419,hc,7
Trifolium_repens,136,198,0.592814371257485,0.6868686868686869,hc,7
Triglochin_maritimum,103,30,0.22556390977443608,0.2912621359223301,hc,8
Tripleurospermum_inodorum,37,75,0.6696428571428571,0.49333333333333335,Th,8
Trisetum_flavescens,101,120,0.5429864253393665,0.8416666666666667,hc,7
Tuberaria_guttata,100,100,0.5,1,Th,9
Vaccinium_myrtillus,120,18,0.13043478260869565,0.15,Ch,6
Vaccinium_oxycoccos,486,0,0,0,Ch,8
Vaccinium_uliginosum,189.3,0,0,0,Ch,7
Verbascum_thapsus,140,10,0.06666666666666667,0.07142857142857142,hc,7
Verbena_officinalis,273,67,0.19705882352941176,0.2454212454212454,hc,8
Veronica_alpina,148,127,0.4618181818181818,0.8581081081081081,Ch,8
Veronica_chamaedrys,190,4,0.020618556701030927,0.021052631578947368,Ch,6
Veronica_montana,164,0,0,0,Ch,4
Veronica_officinalis,90,23,0.20353982300884957,0.25555555555555554,Ch,6
Veronica_spicata,130,50,0.2777777777777778,0.38461538461538464,hc,8
Viburnum_lantana,136,0,0,0,Ph,7
Viburnum_opulus,126,0,0,0,Ph,6
Vicia_hirsuta,21,63,0.75,0.3333333333333333,Th,7
Vicia_sepium,160,0,0,0,hc,6
Vicia_sylvatica,5,78,0.9397590361445783,0.0641025641025641,hc,7
Vinca_minor,270,0,0,0,Ch,4
Viola_canina,141,0,0,0,hc,8
Viola_hirta,201,56,0.2178988326848249,0.27860696517412936,hc,7
Viola_kitaibeliana,210,135,0.391304347826087,0.6428571428571429,Th,9
Viola_odorata,96,5,0.04950495049504951,0.052083333333333336,hc,5
Viola_reichenbachiana,52,0,0,0,hc,4
Acer_campestre,270,0.5,0.0018484288354898336,0.001851851851851852,Ph,5
Populus_alba,315,0,0,0,Ph,6
Tilia_cordata,214,0,0,0,Ph,5
Ulmus_glabra,218,0,0,0,Ph,4
Castanea_sativa,330,0,0,0,Ph,5
Crataegus_laevigata,147,0,0,0,Ph,5
Prunus_cerasus,216,0,0,0,Ph,6
Sambucus_nigra,90,0,0,0,Ph,6
Galium_odoratum,119,0,0,0,hc,3
Cephalanthera_longifolia,48,0,0,0,Gn,5
Circaea_lutetiana,154,0,0,0,Gn,4
Conopodium_majus,130,0,0,0,Gn,6
Cardamine_bulbifera,104,0,0,0,Gn,3
Epipactis_helleborine,41,0,0,0,Gn,4
Iris_foetidissima,78,0,0,0,hc,5
Pyrola_rotundifolia,200,0,0,0,hc,6
Scirpus_sylvaticus,108,0,0,0,hc,6
Brachypodium_sylvaticum,0,240,1,0,hc,6
Clinopodium_vulgare,235,0,0,0,hc,7
Carex_pendula,189,0,0,0,hc,5
Geum_urbanum,160,23,0.12568306010928962,0.14375,hc,4
Hypericum_humifusum,328,0,0,0,Ch,7
Melittis_melissophyllum,191,0,0,0,hc,5
Scrophularia_vernalis,130,4,0.029850746268656716,0.03076923076923077,hc,5
Vicia_cracca,44,130,0.7471264367816092,0.3384615384615385,hc,7
