"SpeciesAuthor","SpeciesAccepted","dim","repProp","repActive","repDorm","survProblem","primitive","irreducible","ergodic","F0","C0","F0C0","lambda","lambdaAway","R0","T","KeyfitzH","DemetriusH","lifespanFun","lifespanDoak","prob1stReprod","La","QSD0.1","QSD0.05","QSD0.01","rho","periodOscillation","react","firstStepAtt","maxAmp","maxAtt","inertiaUp","inertiaLow","inertiaTotal","KreissUp","KreissLow","KreissTotal","vProp","vActive","vDorm","wProp","wActive","wDorm","Eprog","Efec","Esurv"
"Lepidium_campestre","Lepidium campestre",3,1,2,0,0.497,FALSE,FALSE,FALSE,0,1,0,12.0417797900529,11.0417797900529,15.4426862745098,1.09996585481124,0,NA,1,2,0,1,NA,NA,NA,62.7895505266451,NA,94.3772448769389,0,NA,NA,NA,NA,NA,NA,NA,NA,0.000605600256008334,0.999394399743992,0,0.989837100186314,0.0101628998136865,0,0.0534625294354263,0.944269712703927,0.00226775786064728
"Malacothrix_indecora","Malacothrix indecora",2,1,1,0,0.710169244335911,TRUE,TRUE,TRUE,0,1,0,1.8667318097202,0.866731809720203,5.629419809025,2.76840157649101,0,NA,1,2,1,1,NA,NA,NA,1.43956721908184,NA,9.25118642012957,0.380434533036835,9.25118642012957,0.380434533036835,5.86895188670191,0.634399915878002,5.23455197082391,5.86894901323814,0.634400131578557,5.23454888165958,0.0975496843991021,0.902450315600898,0,0.930156375147336,0.0698436248526639,0,0.409908873853142,0.409908873853143,0.180182252293715
"Melampyrum_pratense","Melampyrum pratense",6,2,4,0,1,FALSE,FALSE,FALSE,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"Mircothlaspi_perfoliatum","Mircothlaspi perfoliatum",3,1,2,0,0.95,FALSE,FALSE,FALSE,0,1,0,2.74402205869575,1.74402205869575,142.164705882353,4.91070413354574,0,NA,1,2,0,1,NA,NA,NA,2.57891768951711,NA,11.3191509891735,0,NA,NA,NA,NA,NA,NA,NA,NA,0.058996410332416,0.941003589667584,0,0.940417733022393,0.0595822669776071,0,0.502626019996546,0.346930435974845,0.150443544028608
"Murdannia_nudiflora","Murdannia nudiflora",3,1,2,0,1.47,TRUE,TRUE,TRUE,0,0,0,3.27816156449181,2.27816156449181,624.135823429541,5.42109107564928,0.975893965849424,1.78246999613883,102.94,463,1,3.94,7,9,13,3.16168357702249,8.00368690217469,4.14988698157985,0.234887751824205,4.14988698157985,0.118210722595144,3.10498002977881,0.173381556390694,2.93159847338811,3.1049798494463,0.173382350586684,2.93159749885962,0.0371817891789903,0.96281821082101,0,0.527248615400944,0.472751384599056,0,0.323128501839244,0.482966297147226,0.102083133132642
"Myosotis_ramosissima","Myosotis ramosissima",2,1,1,0,0.1092072,TRUE,TRUE,TRUE,0,1,0,4.02772134532028,3.02772134532028,3.9823589,0.991870187744901,0,NA,1,2,1,1,NA,NA,NA,717.953654188948,NA,1.6353911890288,0.0271138916119124,1.6353911890288,0.0271138916119124,1.6345070325244,0.0284676774301988,1.6060393550942,1.63450639897165,0.0284686476110435,1.60603775136061,0.0171185269744577,0.982881473025542,0,0.395075644013209,0.604924355986792,0,0.000110996685208301,0.988753114005704,0.0111358893090878
"Oryza_sativa_var._sylvatica","Oryza sativa",4,4,0,0,1.01,TRUE,TRUE,TRUE,1,1,1,0.999034017880619,0.000965982119380593,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,1.99375349245629,NA,1.01097658530452,0.990957246981655,1.01453707063167,0.989761259791361,1.01454237506037,0.990137991431911,0.0244043836284604,1.01454235483555,0.990138000727415,0.0244043541081386,NA,NA,NA,NA,NA,NA,0.474144710637024,0,0.523333420540658
"Phacelia_insularis_var._insularis","Phacelia insularis",2,1,1,0,0.763679104306044,TRUE,TRUE,TRUE,0,1,0,1.21677313971589,0.216773139715887,2.27182807498857,4.18233864795151,0,NA,1,2,1,1,NA,NA,NA,2.60678706857767,NA,34.1230777449108,0.627626530681275,34.1230777449108,0.627626530681275,24.939508997835,0.730869272234815,24.2086397256002,24.9394916902467,0.730869466587369,24.2086222236593,0.028471309014054,0.971528690985946,0,0.988882864513838,0.0111171354861622,0,0.277255900487292,0.277255900487292,0.445488199025416
"Phalaris_brachystachys","Phalaris brachystachys",4,2,2,0,0.68,TRUE,TRUE,TRUE,0,1,0,2.31743726161169,1.31743726161169,45.23904,4.53555386616783,0,NA,1.3,3,0.300000000000001,2,NA,NA,NA,1.06614159463028,4.15105250478818,531.621727331332,0.129453342694318,531.621727331332,0.0107634421758509,149.656993643748,0.281510303190589,149.375483340557,162.144951776995,0.281510710721649,161.863441066273,0.0128497987024618,0.987150201297538,0,0.986363263611405,0.0136367363885952,0,0.701735892915165,0.233911964305055,0.0643521427797798
"Polygonum_perfoliatum","Polygonum perfoliatum",5,1,4,0,0.5026875,FALSE,FALSE,FALSE,1,1,1,0.29375,0.70625,0,NA,0,NA,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1
