species,ab_density,ad_density,sr_propAd,sr_even,lifeform,ellenberg_light,height,wh
Stellaria_media,46.8,33.1,0.41426783479349183,0,Th,7,50,h
Suaeda_maritima,50,38,0.4318181818181818,0,Th,9,30,h
Succisa_pratensis,222,79,0.26245847176079734,0,hc,7,100,h
Symphoricarpos_albus,116,0,0,0,Ph,5,200,w
Tanacetum_vulgare,160,200,0.5555555555555556,0,hc,7,120,h
Tephroseris_integrifolia,70,20,0.2222222222222222,0,hc,7,60,h
Teucrium_scorodonia,238,0,0,0,hc,6,50,h
Thalictrum_flavum,93,58,0.3841059602649007,0,hc,7,100,h
Thymus_serpyllum,366,88,0.19383259911894274,0,Ch,8,4,sw
Tilia_platyphyllos,119,0,0,0,Ph,4,3000,w
Tragopogon_pratensis,131,80,0.3791469194312796,0,hc,8,75,h
Trientalis_europaea,47,0.5,0.010526315789473684,0,Gn,5,20,h
Trifolium_hybridum,359,463,0.5632603406326034,0,hc,7,60,h
Trifolium_repens,136,198,0.592814371257485,0,hc,7,20,h
Triglochin_maritimum,103,30,0.22556390977443608,0,hc,8,55,h
Tripleurospermum_inodorum,37,75,0.6696428571428571,0,Th,8,60,h
Trisetum_flavescens,101,120,0.5429864253393665,0,hc,7,80,h
Tuberaria_guttata,100,100,0.5,0,Th,9,15,h
Vaccinium_myrtillus,120,18,0.13043478260869565,0,Ch,6,50,w
Vaccinium_oxycoccos,486,0,0,0,Ch,8,30,h
Vaccinium_uliginosum,189.3,0,0,0,Ch,7,50,w
Verbascum_thapsus,140,10,0.06666666666666667,0,hc,7,200,h
Verbena_officinalis,273,67,0.19705882352941176,0,hc,8,67,h
Veronica_alpina,148,127,0.4618181818181818,0,Ch,8,12,h
Veronica_chamaedrys,190,4,0.020618556701030927,0,Ch,6,30,h
Veronica_montana,164,0,0,0,Ch,4,15,h
Veronica_officinalis,90,23,0.20353982300884957,0,Ch,6,23,h
Veronica_spicata,130,50,0.2777777777777778,0,hc,8,45,h
Viburnum_lantana,136,0,0,0,Ph,7,600,w
Viburnum_opulus,126,0,0,0,Ph,6,400,w
Vicia_hirsuta,21,63,0.75,0,Th,7,80,h
Vicia_sepium,160,0,0,0,hc,6,60,h
Vicia_sylvatica,5,78,0.9397590361445783,0,hc,7,150,h
Vinca_minor,270,0,0,0,Ch,4,15,h
Viola_canina,141,0,0,0,hc,8,18,h
Viola_hirta,201,56,0.2178988326848249,0,hc,7,15,h
Viola_kitaibeliana,210,135,0.391304347826087,0,Th,9,10,h
Viola_odorata,96,5,0.04950495049504951,0,hc,5,15,h
Viola_reichenbachiana,52,0,0,0,hc,4,13,h
